28 LIPCA 1943; Zwierzyniec
GOLKOWICKA; Swoszowice
GOŁAŚKA; Wola Duchacka
STANISŁAWA GOŁĄBA; Swoszowice
GOŁĘBIA; Stare Miasto
WITOLDA GOMBROWICZA; Swoszowice
GONTYNA; Zwierzyniec
GOPLANY; Łagiewniki
JANA ALEKSANDRA GORCZYNA; Swoszowice
GORYCZKOWA; Łagiewniki
JULIANA GOSLARA; Łagiewniki
GOSPODARSKA; Prądnik Biały
SEWERYNA GOSZCZYŃSKIEGO; Podgórze
GOŚCINNA; Swoszowice
GOŹDZIKOWA; Swoszowice
GÓRALI; Nowa Huta
GÓRKA NARODOWA; Prądnik Biały
GÓRNA; Bronowice
ŁUKASZA GÓRNICKIEGO; Prądnik Biały
GÓRNIKÓW; Prokocim-Bieżanów
GÓRSKA; Wola Duchacka
IGNACEGO GRABCZAKA; Prądnik Biały
GRABOWA; Zwierzyniec
AMBROŻEGO GRABOWSKIEGO; Stare Miasto
GRADOWA; Bronowice
GRAMATYKA; Łobzów
GRANICZNA; Nowa Huta
GRANITOWA; Dębniki
GRAWERSKA; Swoszowice
GRAŻYNY; Prądnik Biały
GRĄBY; Nowa Huta
GRENADIERÓW; Bronowice
GRĘBAŁOWSKA; Grębałów
GROCHOWA; Podgórze
STANISŁAWA GROCHOWIAKA; Prądnik Biały
GROCHOWSKA; Grzegórzki
GRODZISKO; Dębniki
GRODZKA; Stare Miasto
BARTŁOMIEJA GROICKIEGO; Grębałów
GROMADY GRUDZIĄŻ; Wola Duchacka
GROMADZKA; Podgórze
GRONOSTAJOWA; Dębniki
GRONOWA; Dębniki
GROSZKOWA; Bronowice
STEFANA GROTA-ROWECKIEGO; Dębniki
ARTURA GROTTGERA; Łobzów
GRUNWALDZKA; Grzegórzki
GRUNWALDZKIE; Dębniki
WŁODZIMIERZA GRUSZCZYŃSKIEGO; Swoszowice
GRYCZANA; Prądnik Biały
JAXY GRYFITY; Zwierzyniec
ALEKSANDRA GRYGLEWSKIEGO; Wola Duchacka
JANA GRZECHA; Prokocim-Bieżanów
GRZEGORZA Z SANOKA; Grębałów
MARII GRZEGORZEWSKIEJ; Dębniki
GRZEGÓRZECKA; Grzegórzki
GRZEGÓRZECKIE; Grzegórzki
STANISŁAWA GRZEPSKIEGO; Swoszowice
GRZYBKI; Podgórze
GUMNISKA; Podgórze
JANA GUMOWSKIEGO; Swoszowice
KSIĘDZA WŁADYSŁAWA GURGACZA; Grzegórzki
JANA GUTENBERGA; Dębniki
GWARECKA; Nowa Huta
GWARNA; Wola Duchacka
GWIEŹDZISTA; Dębniki
GZYMSIKÓW; Łobzów
ADAMA HABELI; Prokocim-Bieżanów
HABINA; Czyżyny
WOJCIECHA HALCZYNA; Bronowice
HALICKA; Stare Miasto
HALKI; Zwierzyniec
JANA HALLERA; Swoszowice
