28 LIPCA 1943; Zwierzyniec
LUDOMIRA RÓŻYCKIEGO; Prądnik Biały
RUCIANA; Podgórze
RUDNI; Nowa Huta
RUMIANKOWA; Nowa Huta
RUSAŁEK; Grzegórzki
RUSIECKA; Nowa Huta
RUSZNIKARSKA; Prądnik Biały
RUSZNIKARSKA - DEPTAK; Prądnik Biały
MAKSYMILIANA RUTKOWSKIEGO; Swoszowice
RYBAKI; Stare Miasto
RYBAŁTOWSKA; Prądnik Biały
RYBIANKA; Prądnik Czerwony
RYBITWY; Podgórze
RYBNA; Zwierzyniec
RYCERSKA; Grębałów
LUCJANA RYDLA Brak zwartej zabudowy; Prądnik Biały
LUCJANA RYDLA Nr. 1-57, 2-52; Bronowice
RYDLÓWKA; Podgórze
LUDWIKA RYDYGIERA; Prokocim-Bieżanów
MARSZAŁKA EDWARDA RYDZA-ŚMIGŁEGO; Nowa Huta
TEODORA RYGIERA; Prokocim-Bieżanów
MAKSYMA RYLSKIEGO; Podgórze
RYMANOWSKA; Swoszowice
RYMARSKA; Grzegórzki
RYNEK DĘBNICKI; Dębniki
RYNEK FAŁĘCKI; Łagiewniki
RYNEK GŁÓWNY; Stare Miasto
RYNEK KLEPARSKI; Stare Miasto
RYNEK PODGÓRSKI; Podgórze
ADAMA RYSIEWICZA; Prądnik Biały
RYSI STOK; Zwierzyniec
RYTOWNICZA; Swoszowice
JÓZEFA RZEBIKA; Podgórze
RZECZNA; Łobzów
RZEMIEŚLNICZA; Podgórze
RZEPAKOWA; Nowa Huta
RZEPICHY; Zwierzyniec
RZESZOWSKA; Stare Miasto
RZEŹNICZA; Grzegórzki
RŻĄCKA; Prokocim-Bieżanów
JANA SABAŁY; Prądnik Czerwony
ANDRIEJA SACHAROWA; Podgórze
SADKA; Wola Duchacka
SADOWA; Prądnik Czerwony
SADZAWKI; Prądnik Czerwony
SAJAKÓWKA; Grębałów
SALEZJAŃSKA; Dębniki
SALWATORSKA; Zwierzyniec
OPATA SALWIŃSKIEGO; Nowa Huta
SAMORZĄDOWA; Bieńczyce
STANISŁAWA SAMOSTRZELNIKA; Nowa Huta
MAGDALENY SAMOZWANIEC; Grębałów
SANATORYJNA; Swoszowice
SANDOMIERSKA; Dębniki
SANOCKA; Wola Duchacka
FRANCISZKA SAPALSKIEGO; Dębniki
SAPERÓW; Prądnik Czerwony
JÓZEFA SAREGO; Stare Miasto
SARMACKA; Podgórze
SARNIE UROCZYSKO; Zwierzyniec
SASANEK; Nowa Huta
SASKA; Podgórze
JANA SAS-ZUBRZYCKIEGO; Wola Duchacka
JANA SAWICKIEGO; Zwierzyniec
JÓZEFA I FLORIANA SAWICZEWSKICH; Swoszowice
JÓZEFA SAWY-CALIŃSKIEGO; Nowa Huta
SĄDOWA; Grzegórzki
SĄSIEDZKA; Dębniki
BRONISŁAWA SCH¨ oNBORNA; Swoszowice
BRUNONA SCHULZA; Prokocim-Bieżanów
ALBERTA SCHWEITZERA; Prokocim-Bieżanów
EMILII SCZANIECKIEJ; Swoszowice
ZBIGNIEWA SEIFERTA; Nowa Huta
SEMPERITOWCÓW; Grzegórzki
STEFANII SEMPOŁOWSKIEJ; Wola Duchacka
SENACKA; Stare Miasto
SENATORSKA; Zwierzyniec
SENIORÓW LOTNICTWA; Prądnik Czerwony
SERBSKA; Wola Duchacka
IGNACEGO SEWERA-MACIEJOWSKIEGO; Bronowice
PROFESORA TADEUSZA SEWERYNA; Prokocim-Bieżanów
SĘPIA; Zwierzyniec
SIARCZANA; Swoszowice
SIARCZANOGÓRSKA; Swoszowice
SIARCZANOGÓRSKA; Wola Duchacka
SIARCZKI; Swoszowice
SIDZIŃSKA; Dębniki
MICHAŁA SIEDLECKIEGO; Grzegórzki
BŁOGOSŁAWIONEJ FRANCISZKI SIEDLISKIEJ; Wola Duchacka
SIEJÓWKA; Nowa Huta
SIELSKA; Łagiewniki
KSIĘDZA KAZIMIERZA SIEMASZKI Nr.1-13, 2-20; Łobzów
KSIĘDZA KAZIMIERZA SIEMASZKI Nr.13a-d.k, 20a-d.k.; Prądnik Biały
KAZIMIERZA SIEMIENOWICZA; Podgórze
LUCJANA SIEMIEŃSKIEGO; Łobzów
HENRYKA SIEMIRADZKIEGO; Stare Miasto
SIEMOMYSŁA; Wola Duchacka
HENRYKA SIENKIEWICZA; Łobzów
SIENNA; Stare Miasto
WACŁAWA SIEROSZEWSKIEGO; Nowa Huta
SIERPOWA; Czyżyny
SIEWNA; Prądnik Biały
SIKORKI; Czyżyny
SIOSTRY FAUSTYNY; Łagiewniki
SIOSTRZANA; Podgórze
SITOWINY; Nowa Huta
SIWKA; Czyżyny
SKALICA; Dębniki
SKALNA; Zwierzyniec
SKAŁECZNA; Stare Miasto
STANISŁAWA SKARBIŃSKIEGO; Łobzów
SKARBOWA; Stare Miasto
KSIĘDZA PIOTRA SKARGI; Zwierzyniec
STANISŁAWA SKARŻYŃSKIEGO; Czyżyny
SKAWIŃSKA; Stare Miasto
ZBIGNIEWA SKĄPSKIEGO; Dębniki
SKIBOWA; Zwierzyniec
SKŁADOWA; Łobzów
MARII SKŁODOWSKIEJ-CURIE; Stare Miasto
WŁADYSŁAWA SKOCZYLASA; Grębałów
SKOŁCZANKA; Dębniki
KSIĘDZA IGNACEGO JANA SKORUPKI; Grzegórzki
SKOŚNA; Dębniki
SKOTNICA; Prądnik Biały
SKOTNICKA; Dębniki
SKOWRONIA; Wola Duchacka
SKRAJNA; Prądnik Biały
SKRĘCONA; Czyżyny
SKROMNA; Podgórze
SKRZATÓW; Grzegórzki
SKRZETUSKIEGO; Swoszowice
GENERAŁA JANA SKRZYNECKIEGO; Podgórze
SKWEROWA; Dębniki
MAJORA MIECZYSŁAWA SŁABEGO; Dębniki
WALEREGO SŁAWKA; Wola Duchacka
SŁAWKOWSKA; Stare Miasto
MACIEJA SŁOMCZYŃSKIEGO; Prądnik Biały
SŁOMIANA; Dębniki
SŁOMNICKA; Łobzów
SŁONA WODA; Wola Duchacka
MARIANA SŁONECKIEGO; Prądnik Czerwony
SŁONECZNE; Nowa Huta
SŁONECZNIKOWA; Zwierzyniec
GABRIELA SŁOŃSKIEGO; Dębniki
SŁOTNA; Prądnik Biały
JULIUSZA SŁOWACKIEGO Nr nieparzyste; Stare Miasto
JULIUSZA SŁOWACKIEGO Nr parzyste; Łobzów
SŁOWIAŃSKA; Stare Miasto
SŁOWICZA; Prądnik Biały
SŁUPSKA; Łagiewniki
SMĘTNA; Prądnik Biały
SMOCZA; Stare Miasto
SMOLARZY; Prokocim-Bieżanów
JANA SMOLENIA; Prokocim-Bieżanów
SMOLEŃSK; Stare Miasto
JERZEGO SMOLEŃSKIEGO; Swoszowice
SMOLKI; Podgórze
SMOLNA; Prokocim-Bieżanów
MARIANA SMOLUCHOWSKIEGO; Łobzów
SNOZY; Wola Duchacka
SNYCERSKA; Prokocim-Bieżanów
TADEUSZA SOBESTO; Prokocim-Bieżanów
JANA SOBIESKIEGO; Stare Miasto
SOBONIOWICKA; Wola Duchacka
SOBÓTKA; Łagiewniki
SOCHY; Czyżyny
SOCZYNY; Grębałów
SODOWA; Dębniki
SOKOLA; Zwierzyniec
SOKOLSKA; Podgórze
ANDRZEJA SOKOŁOWSKIEGO; Prądnik Czerwony
SOLARZY; Prokocim-Bieżanów
SOLIDARNOŚCI; Grębałów
SOLIDARNOŚCI; Nowa Huta
SOLNA; Podgórze
LUDWIKA SOLSKIEGO; Prądnik Biały
ERNESTA SOLVAYA; Łagiewniki
GENERAŁA ROMANA SOŁTYKA; Grzegórzki
SOŁTYSA DYTMARA; Bronowice
SOŁTYSOWSKA; Czyżyny
SOROKI; Dębniki
GENERAŁA STANISŁAWA SOSABOWSKIEGO; Prądnik Biały
GENERAŁA STANISŁAWA SOSABOWSKIEGO; Łobzów
GENERAŁA KAZIMIERZA SOSNKOWSKIEGO; Mistrzejowice
SOSNOWA; Zwierzyniec
SOSNOWIECKA; Prądnik Biały
SOWIA; Łagiewniki
GENERAŁA JÓZEFA SOWIŃSKIEGO; Grzegórzki
SPACEROWA; Dębniki
SPADOCHRONIARZY; Prądnik Czerwony
WŁADYSŁAWA SPASOWSKIEGO; Stare Miasto
PROFESORA TEODORA SPICZAKOWA; Bronowice
SPISKA; Podgórze
SPIŻOWA; Łobzów
SPŁAWY; Grębałów
SPOKOJNA; Łobzów
SPORNA; Wola Duchacka
SPORTOWA; Wola Duchacka
SPORTOWE; Nowa Huta
SPÓŁDZIELCÓW; Prokocim-Bieżanów
SPÓŁDZIELCZE; Nowa Huta
PUŁKOWNIKA JÓZEFA SPYCHALSKIEGO; Dębniki
SPYTKA Z MELSZTYNA; Bieńczyce
SREBRNE UROCZYSKO; Dębniki
SREBRNYCH ORŁÓW; Mistrzejowice
KONRADA SRZEDNICKIEGO; Swoszowice
PIOTRA STACHIEWICZA; Prądnik Biały
MICHAŁA STACHOWICZA; Zwierzyniec
STACYJNA; Prokocim-Bieżanów
STADIONOWA; Bieńczyce
LEOPOLDA STAFFA; Łobzów
STALOWA; Nowa Huta
STALOWE; Nowa Huta
JANA STANISŁAWSKIEGO; Prądnik Biały
STAŃCZYKA; Bronowice
TADEUSZA STARCA; Łagiewniki
STAREGO DĘBU; Prądnik Biały
STAREGO WIARUSA; Prądnik Biały
STARE WIŚLISKO; Nowa Huta
STAROMOSTOWA; Podgórze
STAROWIEJSKA; Swoszowice
STAROWIŚLNA; Stare Miasto
STAROWOLSKA; Zwierzyniec
STARTOWA; Prądnik Czerwony
STARY GOŚCINIEC; Grębałów
STEFANA STARZYŃSKIEGO; Dębniki
ADAMA STASZCZYKA; Bronowice
STANISŁAWA STASZICA; Stare Miasto
WOJCIECHA STATTLERA; Prokocim-Bieżanów
PORUCZNIKA ANTONIEGO STAWARZA; Podgórze
STAWISKO; Swoszowice
STAWOWA; Prądnik Biały
STEFANA BATOREGO; Stare Miasto
FRANCISZKA STEFCZYKA; Grębałów
IZYDORA STELLA-SAWICKIEGO; Czyżyny
STELMACHÓW; Prądnik Biały
STEPOWA; Swoszowice
STĘPICE; Dębniki
JÓZEFA STĘPNIA; Prokocim-Bieżanów
STOCZNIOWCÓW; Podgórze
STOIGNIEWA; Podgórze
STANISŁAWA STOJAŁOWSKIEGO; Wola Duchacka
STOKOWA; Grębałów
STOKROTEK; Grzegórzki
STOLARSKA; Stare Miasto
STEFANA STOLARZA; Prokocim-Bieżanów
ANDRZEJA STOPKI; Nowa Huta
STORCZYKOWA; Łagiewniki
KSIĘDZA IGNACEGO STOSZKI; Podgórze
STRADOMSKA; Stare Miasto
STRASZEWSKIEGO; Stare Miasto
STRAŻACKA; Podgórze
STRĄKOWA; Łagiewniki
STRĘCKA; Czyżyny
STROMA; Podgórze
STRÓŻA RYBNA; Podgórze
JANA STRÓŻECKIEGO; Bronowice
ANDRZEJA STRUGA; Nowa Huta
STRUMIENNA; Łagiewniki
STRUMYK; Czyżyny
JÓZEFA STRUSIA; Bieńczyce
STRYCHARSKA; Podgórze
TADEUSZA STRYJEŃSKIEGO; Prokocim-Bieżanów
ZOFII STRYJEŃSKIEJ; Zwierzyniec
STRZELCÓW; Prądnik Czerwony
STRZELECKA; Grzegórzki
STRZELNICA; Zwierzyniec
STUDENCKA; Stare Miasto
STUDZIANKI; Dębniki
STUDZIENNA; Grębałów
WITA STWOSZA; Stare Miasto
STYCZNA; Grębałów
JANA STYKI; Prądnik Biały
SUCHA; Łagiewniki
HENRYKA SUCHARSKIEGO; Prokocim-Bieżanów
SUCHE ŁĄKI; Prądnik Biały
SUCHY JAR; Nowa Huta
SUDECKA; Podgórze
SUDOLSKA; Prądnik Czerwony
SUKIENNICZA; Stare Miasto
SULISŁAWA; Grębałów
GENERAŁA JÓZEFA SUŁKOWSKIEGO; Wola Duchacka
JANUSZA SUPNIEWSKIEGO; Grzegórzki
JANA SURZYCKIEGO; Podgórze
SWAROŻYCA; Mistrzejowice
SWOBODA; Dębniki
SWOJSKA; Prądnik Czerwony
SWOSZOWICKA; Podgórze
SYBIRAKÓW; Grębałów
MARKA SYCHA; Bieńczyce
SYMFONICZNA; Łobzów
SYRACHOWSKA; Nowa Huta
SYRENY; Prądnik Biały
SZYMONA SYREŃSKIEGO; Swoszowice
WŁADYSŁAWA SYROKOMLI; Zwierzyniec
JERZEGO SZABLOWSKIEGO; Bronowice
PROFESORA WŁADYSŁAWA SZAFERA; Grzegórzki
SZAFIROWA; Prądnik Biały
SZAFLARSKA; Podgórze
TADEUSZA SZAFRANA; Podgórze
SZAFRAŃSKA; Czyżyny
JERZEGO SZAJNOWICZA-IWANOWA; Bieńczyce
KLEMENSA JUNOSZY SZANIAWSKIEGO; Łagiewniki
SZARA; Prokocim-Bieżanów
SZAROTKI; Prądnik Biały
JACKA SZARSKIEGO; Swoszowice
SZARYCH SZEREGÓW; Wola Duchacka
SZASERÓW; Zwierzyniec
JANA SZASTERA; Prokocim-Bieżanów
SZCZAWNICKA; Swoszowice
SZCZECIŃSKA; Podgórze
SZCZEGÓW; Swoszowice
PORUCZNIKA SZCZEKLIKA; Bieńczyce
SZCZEPAŃSKA; Stare Miasto
KAROLA SZCZERBIŃSKIEGO; Łagiewniki
SZCZĘŚLIWA; Wola Duchacka
STANISŁAWA SZCZYGIELSKIEGO; Dębniki
SZCZYGLA; Podgórze
LUCJANA SZENWALDA; Prądnik Czerwony
SZEROKA; Stare Miasto
SZEROKIE ŁĄKI; Dębniki
SZEWSKA; Stare Miasto
SZKLANA; Prądnik Czerwony
SZKLANE DOMY; Nowa Huta
SZKLARSKA; Podgórze
SZKOLNA; Wola Duchacka
SZKOLNE; Nowa Huta
SZKÓŁKOWA; Prądnik Czerwony
FELIKSA SZLACHTOWSKIEGO; Bronowice
SZLAK; Stare Miasto
SZLIFIERSKA; Nowa Huta
SZMARAGDOWA; Swoszowice
SZOPKARZY; Prądnik Biały
SZPAKOWA; Wola Duchacka
SZPARAGOWA; Podgórze
SZPITALNA; Stare Miasto
JANA IZYDORA SZTAUDYNGERA; Swoszowice
JÓZEFA SZUJSKIEGO; Stare Miasto
ALEKSANDRA SZUKIEWICZA; Wola Duchacka
JANKA SZUMCA; Swoszowice
SZUWAROWA; Dębniki
JANA SZWAI; Dębniki
ANNY SZWED-ŚNIADOWSKIEJ; Swoszowice
SZWEDZKA; Dębniki
SZWOLEŻERÓW; Prądnik Czerwony
SZYBISKO; Swoszowice
SZYBKA; Bieńczyce
ANTONIEGO SZYLLINGA; Swoszowice
KAROLA SZYMANOWSKIEGO; Łobzów
EDWARDA SZYMAŃSKIEGO; Nowa Huta
DEZYDEREGO SZYMKIEWICZA; Prokocim-Bieżanów
SZYMONA SZYMONOWICA; Dębniki
ADOLFA SZYSZKO-BOHUSZA; Zwierzyniec
KSIĘDZA PIOTRA ŚCIEGIENNEGO; Prokocim-Bieżanów
PROFESORA JANA ŚLASKIEGO; Dębniki
ŚLĄSKA; Łobzów
ŚLICZNA; Prądnik Czerwony
ŚLISKA; Podgórze
TADEUSZA ŚLIWIAKA; Podgórze
ŚLIWKOWA; Czyżyny
LEOPOLDA ŚLIWY; Prokocim-Bieżanów
LEONA ŚLÓSARCZYKA; Prokocim-Bieżanów
ŚLUSARSKA; Podgórze
ŚMIAŁA; Prądnik Biały
JANA I JĘDRZEJA ŚNIADECKICH; Grzegórzki
ŚNIEŻNA; Prokocim-Bieżanów
ŚRODKOWA; Prądnik Czerwony
ŚWIATOWIDA; Łagiewniki
ŚWIDNICKA; Mistrzejowice
HENRYKA ŚWIDZIŃSKIEGO; Prokocim-Bieżanów
ŚWIEBODZICKA; Łagiewniki
ŚWIERKOWA; Zwierzyniec
ŚWIEŻA; Prokocim-Bieżanów
ŚWIĘTEGO ANDRZEJA BOBOLI; Prądnik Czerwony
ŚWIĘTEGO BENEDYKTA; Podgórze
ŚWIĘTEGO FILIPA; Stare Miasto
ŚWIĘTEGO IDZIEGO; Stare Miasto
ŚWIĘTEGO JACKA; Dębniki
ŚWIĘTEGO JANA; Stare Miasto
ŚWIĘTEGO KRZYŻA; Stare Miasto
ŚWIĘTEGO ŁAZARZA; Grzegórzki
ŚWIĘTEGO MARKA; Stare Miasto
ŚWIĘTEGO PIOTRA; Dębniki
ŚWIĘTEGO SEBASTIANA; Stare Miasto
ŚWIĘTEGO STANISŁAWA; Stare Miasto
ŚWIĘTEGO TOMASZA; Stare Miasto
ŚWIĘTEGO WAWRZYŃCA; Stare Miasto
ŚWIĘTEGO WINCENTEGO; Nowa Huta
ŚWIĘTEGO WOJCIECHA; Bronowice
ŚWIĘTEJ AGNIESZKI; Stare Miasto
ŚWIĘTEJ ANNY; Stare Miasto
ŚWIĘTEJ BRONISŁAWY; Zwierzyniec
ŚWIĘTEJ GERTRUDY; Stare Miasto
ŚWIĘTEJ KATARZYNY; Stare Miasto
ŚWIĘTEJ KINGI; Podgórze
ŚWIĘTEJ RODZINY; Bieńczyce
ŚWIĘTEJ TERESY; Stare Miasto
ŚWIĘTOJAŃSKA; Dębniki
ŚWIĘTOKRZYSKA; Łobzów
ŚWITEZIANKI; Grzegórzki
TABACZNA; Czyżyny
TABOROWA; Prokocim-Bieżanów
MATKI PAULI ZOFII TAJBER; Prądnik Biały
WŁADYSŁAWA TAKLIŃSKIEGO; Swoszowice
TEODORA TALOWSKIEGO; Dębniki
CZESŁAWA TAŃSKIEGO; Prokocim-Bieżanów
TARASOWA; Nowa Huta
KSIĘDZA KAROLA TARGOSZA; Podgórze
TARGOWA; Podgórze
TARŁOWSKA; Stare Miasto
TARNOBRZESKA; Wola Duchacka
TARNOWSKA; Podgórze
JANA TARNOWSKIEGO; Podgórze
TATARAKOWA; Nowa Huta
TATARSKA; Zwierzyniec
TATRZAŃSKA; Podgórze
TEATRALNE; Nowa Huta
LEONIDA TELIGI; Prokocim-Bieżanów
TELIMENY; Prokocim-Bieżanów
TENCZYŃSKA; Stare Miasto
WŁODZIMIERZA TETMAJERA; Bronowice
TĘCZOWA; Łagiewniki
KSIĘDZA JÓZEFA TISCHNERA; Podgórze
TKACKA; Łobzów
LEONA TOCHOWICZA; Swoszowice
TOKARSKA; Łagiewniki
JULIANA TOKARSKIEGO; Łobzów
BISKUPA PIOTRA TOMICKIEGO; Czyżyny
BISKUPA PIOTRA TOMICKIEGO; Czyżyny
STANISŁAWA TOMKOWICZA; Prądnik Biały
STANISŁAWA TONDOSA; Zwierzyniec
TOPAZOWA; Prokocim-Bieżanów
TOPIARNIA; Swoszowice
TOPOGRAFÓW; Dębniki
TOPOLOWA; Grzegórzki
TOPORCZYKÓW; Dębniki
TORFOWA; Dębniki
TOROWA; Swoszowice
TORUŃSKA; Łobzów
TOWAROWA; Stare Miasto
TRACZY; Podgórze
ROMUALDA TRAUGUTTA; Podgórze
TRAWIASTA; Bronowice
TRAWNIKI; Wola Duchacka
TRETÓWKA; Dębniki
PIOTRA TRĘBACZA; Prądnik Czerwony
KSIęDZA FRANCISZKA TROCKIEGO; Dębniki
TRUSKAWIECKA; Swoszowice
TRUSKAWKOWA; Nowa Huta
KSIĘDZA STANISŁAWA TRUSZKOWSKIEGO; Bronowice
TRYBUNY LUDÓW; Wola Duchacka
TRYNITARSKA; Stare Miasto
TRZCINOWA; Grębałów
TRZECH KRÓLI; Grębałów
TUCHOWSKA; Swoszowice
TUCHOWSKA; Wola Duchacka
TULIPANOWA; Swoszowice
WALERIANA TUMANOWICZA; Prądnik Biały
TURECKA; Dębniki
KSIĘDZA WINCENTEGO TURKA; Podgórze
TURKUSOWA; Prądnik Czerwony
TURNIEJOWA; Wola Duchacka
TURONIA; Łagiewniki
JERZEGO TUROWICZA; Podgórze
TUROWIEC; Prądnik Biały
TURYSTYCZNA; Prądnik Biały
JULIANA TUWIMA; Czyżyny
TWARDOWSKIEGO; Dębniki
FRANCISZKA TWAROGA; Grębałów
TYMIANKOWA; Nowa Huta
TYMOTKOWA; Dębniki
TYNIECKA; Dębniki
TYNKARZY; Łagiewniki
JANA LEOPOLDA TYRANOWSKIEGO; Wola Duchacka
TYRCZANKA; Podgórze
TYSIĄCLECIA; Mistrzejowice
UBELINY; Grębałów
UBOCZNA; Zwierzyniec
SEWERYNA UDZIELI; Prokocim-Bieżanów
UGOREK; Prądnik Czerwony
UJASTEK; Nowa Huta
UJASTEK MOGILSKI; Nowa Huta
KORNELA UJEJSKIEGO; Zwierzyniec
UKOŚNA; Wola Duchacka
UKRYTA; Zwierzyniec
UŁANÓW; Prądnik Czerwony
EUGENII UMIŃSKIEJ; Swoszowice
JÓZEFA UNRUGA; Dębniki
URBANISTÓW; Grębałów
WITOLDA URBANOWICZA; Bieńczyce
UROCZA; Łagiewniki
UROCZE; Nowa Huta
URODZAJNA; Prądnik Biały
URSZULKI; Bieńczyce
URWANA; Wola Duchacka
URZĘDNICZA; Łobzów
UŚMIECH; Podgórze
UZDROWISKOWA; Swoszowice
HENRYKA UZIEMBŁY; Grębałów
ADAMA VETULANIEGO; Prądnik Biały
LEONA WACHHOLZA; Swoszowice
WADOWICKA; Podgórze
WADOWSKA; Grębałów
WALECZNA; Prądnik Biały
WALGIERZA WDAŁEGO; Dębniki
ANDRZEJA WALIGÓRSKIEGO; Nowa Huta
ZYGMUNTA WALISZEWSKIEGO; Prądnik Biały
BOLESŁAWA WALLEK-WALEWSKIEGO; Bronowice
WAŁBRZYSKA; Łagiewniki
WAŁOWA; Podgórze
WANDEJSKA; Dębniki
WANDY; Nowa Huta
WANDY; Grzegórzki
MELCHIORA WAŃKOWICZA; Grębałów
WAPIENNA; Podgórze
WAPIENNIK; Bronowice
BERNARDA WAPOWSKIEGO; Dębniki
EDWARDA WARCHAŁOWSKIEGO; Dębniki
WARMIJSKA; Łobzów
WAROWNA; Swoszowice
WARSZAUERA; Stare Miasto
WARSZAWSKA; Stare Miasto
JÓZEFA WARSZEWICZA; Swoszowice
EDMUNDA WASILEWSKIEGO; Dębniki
JERZEGO WASZYNGTONA; Zwierzyniec
WAWELSKA; Mistrzejowice
TADEUSZA WAŻEWSKIEGO; Swoszowice
PORUCZNIKA WĄCHAŁY; Łagiewniki
WĄDÓŁ; Prądnik Biały
WĄSKA; Stare Miasto
WĄWOZOWA; Grębałów
WCZASOWA; Swoszowice
FERDYNANDA WEIGLA; Prokocim-Bieżanów
WOJCIECHA WEISSA; Prądnik Biały
PIUSA WELOŃSKIEGO; Swoszowice
WENECJA; Stare Miasto
WERNYHORY; Bronowice
WINCENTEGO WERYHY-DAROWSKIEGO; Bronowice
WESELE; Bronowice
WESTERPLATTE; Stare Miasto
WEWNĘTRZNA; Prądnik Biały
WĘDROWNIKÓW; Zwierzyniec
WĘGIERSKA; Podgórze
WĘGLARSKA; Podgórze
WĘGŁOWA; Stare Miasto
WĘGRZECKA; Prądnik Biały
WĘGRZYNOWICKA; Nowa Huta
FRANCISZKA WĘŻYKA; Czyżyny
NARCYZA WIATRA; Nowa Huta
WIATRACZNA; Nowa Huta
WIĄZOWA; Nowa Huta
WICHROWA; Swoszowice
WIDŁAKOWA; Dębniki
WIDNA; Prądnik Czerwony
WIDNOKRĄG; Wola Duchacka
WIDOK; Grzegórzki
WIEDEŃSKA; Bronowice
WIEJSKA; Prądnik Czerwony
MACIEJA WIELGUSA; Bieńczyce
WIELICKA; Podgórze
WIELICKA; Prokocim-Bieżanów
WIELKANOCNA; Dębniki
WIELKICH PIECÓW; Grębałów
WIELKIE POLA; Grębałów
WIELKOTYRNOWSKA; Prądnik Biały
WIELOGÓRSKA; Dębniki
WIELOPOLE; Stare Miasto
HENRYKA WIENIAWSKIEGO; Prądnik Czerwony
WIERCHOWA; Swoszowice
WIERZBOWA; Dębniki
MIKOŁAJA WIERZYNKA; Grębałów
KAZIMIERZA WIERZYŃSKIEGO; Bronowice
HIERONIMA WIETORA; Stare Miasto
WIEWIÓRCZA; Nowa Huta
WIKLINOWA; Czyżyny
WILCZA; Prądnik Biały
WILCZY STOK; Zwierzyniec
WILEŃSKA; Prądnik Czerwony
WILGOTNA; Wola Duchacka
WILHELMA WILKA-WYRWIŃSKIEGO; Grzegórzki
WILLOWE; Nowa Huta
WINNICKA; Dębniki
WINOWCÓW; Zwierzyniec
WIOSENNA; Zwierzyniec
WIOŚLARSKA; Zwierzyniec
WIŚLICKA; Mistrzejowice
WIŚLISKO; Grzegórzki
WIŚLNA; Stare Miasto
PROFESORA JERZEGO WIŚNIEWSKIEGO; Dębniki
WIŚNIOWA; Prądnik Czerwony
JEREMIEGO WIŚNIOWIECKIEGO; Nowa Huta
WIŚNIOWY SAD; Nowa Huta
WITKOWICE NOWE; Prądnik Biały
WITKOWICKA; Prądnik Biały
WINCENTEGO WITOSA; Wola Duchacka
GENERAŁ MARII WITTEK; Bronowice
EDWARDA WITTIGA; Grębałów
WJAZD; Stare Miasto
WJAZDOWA; Bronowice
WLOTOWA; Prokocim-Bieżanów
WŁADYSŁAWA IV; Grębałów
WŁADYSŁAWA JAGIEŁŁY; Grębałów
WŁADYSŁAWA ŁOKIETKA Nr.1-37, 2-32; Łobzów
WŁADYSŁAWA ŁOKIETKA Nr.39-d.k. 34-d.k; Prądnik Biały
BRONISŁAWA WŁODARCZYKA; Czyżyny
WŁODARSKA; Łagiewniki
PAWŁA WŁODKOWICA; Prądnik Czerwony
WŁOSKA; Wola Duchacka
WŁOŚCIAŃSKA; Bronowice
WŁÓCZKÓW; Zwierzyniec
WODNA; Podgórze
WODOCIĄGOWA; Zwierzyniec
WODOCZA; Grębałów
WODZICKICH; Nowa Huta
WINCENTEGO WODZINOWSKIEGO; Prądnik Biały
WOJCIECHA Z BRUDZEWA; Prokocim-Bieżanów
STANISŁAWA WOJCIECHOWSKIEGO; Bieńczyce
STANISŁAWA WOJCIECHOWSKIEGO; Nowa Huta
WOJENNA; Nowa Huta
WOJNICKA; Prokocim-Bieżanów
WOJSKOWA; Łobzów
WOLNOŚCI; Wola Duchacka
WOLSKA; Prokocim-Bieżanów
MARSZAŁKA MIKOŁAJA WOLSKIEGO; Zwierzyniec
MICHAŁA WOŁODYJOWSKIEGO; Nowa Huta
STANISŁAWA WORCELLA; Stare Miasto
JANA WORONICZA; Prądnik Czerwony
WOŹNICÓW; Czyżyny
MICHAŁA WÓJCICKIEGO; Bronowice
WÓJTOWSKA; Łobzów
FELIKSA WROBELA; Podgórze
WROCŁAWSKA; Łobzów
MIECZYSŁAWA WRONY; Dębniki
KOMANDORA BOHDANA WROŃSKIEGO; Prokocim-Bieżanów
ZYGMUNTA WRÓBLEWSKIEGO; Stare Miasto
WRÓBLOWICKA; Swoszowice
WRÓŻENICKA; Nowa Huta
WRZESIŃSKA; Stare Miasto
WRZOSOWA; Nowa Huta
WSPÓLNA; Łagiewniki
KSIĘDZA JAKUBA WUJKA; Dębniki
JÓZEFA WYBICKIEGO; Prądnik Biały
WYCIĄSKA; Nowa Huta
LEONA WYCZÓŁKOWSKIEGO; Zwierzyniec
WYGODA; Stare Miasto
WYGRANA; Dębniki
KAZIMIERZA WYKI; Prądnik Biały
WYŁOM; Dębniki
WYPOCZYNKOWA; Swoszowice
ZYGMUNTA WYROBKA; Zwierzyniec
WYRWA; Wola Duchacka
TADEUSZA WYRWY-FURGALSKIEGO; Zwierzyniec
MARII I BOLESŁAWA WYSŁOUCHÓW; Wola Duchacka
PIOTRA WYSOCKIEGO; Prądnik Biały
STANISŁAWY WYSOCKIEJ; Czyżyny
WYSOKA; Prądnik Czerwony
WYSOKIE; Bieńczyce
STANISŁAWA WYSPIAŃSKIEGO; Łobzów
KAZIMIERZA WYŻGI; Zwierzyniec
WYŻYNNA; Wola Duchacka
WZGÓRZE; Dębniki
XX PIJARÓW; Prądnik Czerwony
ZABAWA; Wola Duchacka
ZABŁOCIE; Podgórze
FRANCISZKA ZABŁOCKIEGO; Mistrzejowice
